"zip","city","county","pop"
"80820","Guffey","Park","882"
"81092","Wiley","Prowers","847"
"80482","Winter Park","Grand","831"
"81430","Placerville","San Miguel","825"
"80449","Hartsel","Park","816"
"81149","Saguache","Saguache","815"
"81041","Granada","Prowers","811"
"80420","Alma","Park","802"
"81235","Lake City","Hinsdale","795"
"81146","Mosca","Alamosa","791"
"80819","Green Mountain Falls","El Paso","784"
"80815","Flagler","Kit Carson","784"
"81143","Moffat","Saguache","782"
"81077","Swink","Otero","781"
"80653","Weldona","Morgan","774"
"81130","Creede","Mineral","769"
"81025","Boone","Pueblo","741"
"80832","Ramah","El Paso","732"
"81076","Sugar City","Crowley","721"
"80427","Central City","Gilpin","720"
"80483","Yampa","Routt","719"
"80827","Lake George","Park","696"
"81091","Weston","Las Animas","693"
"80833","Rush","El Paso","686"
"80729","Grover","Weld","682"
"80428","Clark","Routt","670"
"81422","Naturita","Montrose","664"
"80456","Jefferson","Park","640"
"81231","Gunnison","Gunnison","640"
"81253","Wetmore","Custer","611"
"80436","Dumont","Clear Creek","605"
"80652","Roggen","Weld","584"
"81059","Model","Las Animas","584"
"80860","Victor","Teller","566"
"81433","Silverton","San Juan","558"
"80727","Eckley","Yuma","552"
"80726","Crook","Logan","541"
"80736","Iliff","Logan","524"
"80733","Hillrose","Morgan","496"
"80101","Agate","Elbert","495"
"80438","Empire","Clear Creek","488"
"81242","Poncha Springs","Chaffee","465"
"80825","Kit Carson","Cheyenne","461"
"80914","Colorado Springs","El Paso","455"
"80805","Bethune","Kit Carson","437"
"80481","Ward","Boulder","426"
"80735","Idalia","Yuma","421"
"80722","Atwood","Logan","419"
"81327","Lewis","Montezuma","416"
"80818","Genoa","Lincoln","412"
"81643","Mesa","Mesa","412"
"80744","Ovid","Sedgwick","410"
"80468","Parshall","Grand","397"
"80455","Jamestown","Boulder","391"
"81057","Mc Clave","Bent","391"
"81244","Rockvale","Fremont","388"
"81222","Coaldale","Fremont","387"
"80469","Phippsburg","Routt","380"
"80131","Louviers","Douglas","378"
"81431","Redvale","Montrose","362"
"80649","Orchard","Morgan","358"
"80747","Peetz","Logan","357"
"81649","Red Cliff","Eagle","345"
"80497","Silverthorne","Summit","333"
"81121","Arboles","Archuleta","323"
"81331","Pleasant View","Montezuma","322"
"80612","Carr","Weld","315"
"81029","Campo","Baca","314"
"81071","Sheridan Lake","Kiowa","313"
"81044","Hasty","Bent","311"
"80488","Steamboat Springs","Routt","311"
"81210","Almont","Gunnison","310"
"81221","Coal Creek","Fremont","306"
"81148","Romeo","Conejos","305"
"81040","Gardner","Huerfano","295"
"80025","Eldorado Springs","Boulder","293"
"80861","Vona","Kit Carson","288"
"80510","Allenspark","Boulder","288"
"80804","Arriba","Lincoln","287"
"80834","Seibert","Kit Carson","284"
"81064","Pritchett","Baca","279"
"81434","Somerset","Gunnison","274"
"80802","Arapahoe","Cheyenne","268"
"81610","Dinosaur","Moffat","268"
"80721","Amherst","Phillips","264"
"81320","Cahone","Dolores","262"
"80750","Snyder","Morgan","261"
"80423","Bond","Eagle","251"
"80812","Cope","Washington","251"
"80822","Joes","Yuma","243"
"80745","Padroni","Logan","243"
"81049","Kim","Las Animas","240"
"81646","Molina","Mesa","234"
"80749","Sedgwick","Sedgwick","233"
